item	itemLabel	birth_name	family_name	family_nameLabel	given_name	given_nameLabel
http://www.wikidata.org/entity/Q3404581	Mohammad Asghar		http://www.wikidata.org/entity/Q4804285	Asghar	http://www.wikidata.org/entity/Q19729917	Mohammad
http://www.wikidata.org/entity/Q3404581	Mohammad Asghar		http://www.wikidata.org/entity/Q4804285	Asghar	http://www.wikidata.org/entity/Q19729917	Mohammad
http://www.wikidata.org/entity/Q3405148	Simon Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q4117588	Simon
http://www.wikidata.org/entity/Q3405595	Alun Ffred Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q4737493	Alun Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q16002729	Alun
http://www.wikidata.org/entity/Q4756771	Andrew Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q18042461	Andrew
http://www.wikidata.org/entity/Q4756771	Andrew Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q18042461	Andrew
http://www.wikidata.org/entity/Q4758350	Andrew R. T. Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q18042461	Andrew
http://www.wikidata.org/entity/Q4762396	Angela Burns		http://www.wikidata.org/entity/Q1408775	Burns	http://www.wikidata.org/entity/Q4851436	Angela
http://www.wikidata.org/entity/Q4766480	Ann Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q558067	Ann
http://www.wikidata.org/entity/Q4766480	Ann Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q558067	Ann
http://www.wikidata.org/entity/Q4897688	Bethan Jenkins		http://www.wikidata.org/entity/Q170455	Jenkins	http://www.wikidata.org/entity/Q21069198	Bethan
http://www.wikidata.org/entity/Q4963833	Brian Gibbons		http://www.wikidata.org/entity/Q1522852	Gibbons	http://www.wikidata.org/entity/Q15930574	Brian
http://www.wikidata.org/entity/Q5004338	Byron Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q16534327	Byron
http://www.wikidata.org/entity/Q5040766	Carl Sargeant		http://www.wikidata.org/entity/Q37098750	Sargeant	http://www.wikidata.org/entity/Q2529610	Carl
http://www.wikidata.org/entity/Q5040766	Carl Sargeant		http://www.wikidata.org/entity/Q37098750	Sargeant	http://www.wikidata.org/entity/Q2529610	Carl
http://www.wikidata.org/entity/Q5106591	Chris Franks				http://www.wikidata.org/entity/Q339346	Chris
http://www.wikidata.org/entity/Q5110965	Christine Chapman		http://www.wikidata.org/entity/Q1158558	Chapman	http://www.wikidata.org/entity/Q2087646	Christine
http://www.wikidata.org/entity/Q5225067	Darren Millar				http://www.wikidata.org/entity/Q1166608	Darren
